"COUNTERPART_AREA";"ACCOUNTING_ENTRY";"STO";"ACTIVITY";"UNIT_MEASURE";"PRICES";"VALUATION";"FREQ";"REF_AREA";"GEO";"GEO_OBJECT";"OBS_STATUS";"CONF_STATUS";"DECIMALS";"UNIT_MULT";"OBS_STATUS_FR";"TIME_PERIOD";"OBS_VALUE"
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"P";"F";"1";"6";"SD";2022;257
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"P";"F";"1";"6";"SD";2022;18564.5
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2021;16930.9
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2020;14602.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2019;17087.4
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"P";"F";"1";"6";"SD";2023;152183
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"P";"F";"1";"6";"SD";2022;159402.2
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMET";"FM";"FRANCE";"A";"F";"1";"6";"D";2001;97427.3
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMET";"FM";"FRANCE";"A";"F";"1";"6";"D";2000;93737.7
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"P";"F";"1";"6";"PROV";2024;145076.5
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD1";"F";"FRANCE";"A";"F";"1";"6";"D";2003;2782.3
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD1";"F";"FRANCE";"A";"F";"1";"6";"D";2001;2465.9
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD1";"F";"FRANCE";"A";"F";"1";"6";"D";2000;2379.2
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"P";"F";"1";"6";"PROV";2024;4041.8
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD1";"F";"FRANCE";"A";"F";"1";"6";"D";2002;2574.9
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2021;2203.2
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"P";"F";"1";"6";"SD";2023;2320.9
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"P";"F";"1";"6";"PROV";2024;2501.8
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2020;1873.4
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"P";"F";"1";"6";"SD";2022;2241.7
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2018;3737.5
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2019;3988
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2021;6236.8
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2017;3689.1
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2020;3737.7
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"P";"F";"1";"6";"SD";2022;1100.3
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2020;1085.7
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2021;1195.6
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2019;1138.1
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2018;318.4
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2021;383.8
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"P";"F";"1";"6";"SD";2022;343.5
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2020;347.6
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2019;367.7
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2013;436.8
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2012;464.6
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2016;419
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2014;441.8
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2015;416.6
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2015;159.7
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2016;178.9
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2018;191.7
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2017;184
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2015;15504
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2016;15144.6
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2014;14309.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2018;16854.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2017;16174
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"A";"F";"1";"6";"D";2018;16854.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"A";"F";"1";"6";"D";2020;14602.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"A";"F";"1";"6";"D";2019;17087.4
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR1";"11";"REG";"A";"F";"1";"6";"D";2016;15144.6
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2017;315.9
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2014;239
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2015;256
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2016;259
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2013;189.8
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2016;3401.4
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2014;3448.9
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2013;3494.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2015;3637.4
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2012;3352.9
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"P";"F";"1";"6";"SD";2022;4435.3
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"P";"F";"1";"6";"SD";2023;4239.8
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2021;4228.8
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2020;3614.4
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2019;1804.7
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2018;1684.7
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2017;983.5
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2014;760
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2016;815.3
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2015;809.1
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2018;996.5
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2021;151916.9
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2020;127455.6
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2019;129502.7
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2018;126761.9
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2010;417.8
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2011;507.5
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2011;124.2
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2013;146.4
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2012;130.1
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2010;116.5
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2014;162.3
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2015;1287.1
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2013;1177.4
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2017;1564.1
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2014;1263.3
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRJ";"76";"REG";"A";"F";"1";"6";"D";2016;1460.2
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2017;3458.9
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2018;3531.8
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2016;3248.7
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2019;3571.3
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRD2";"F";"FRANCE";"A";"F";"1";"6";"D";2015;3161.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2011;12162.7
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2012;13025.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2009;11603
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2010;12092.3
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FR10";"F";"FRANCE";"A";"F";"1";"6";"D";2013;14353.1
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2009;202.6
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2008;237.9
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2011;201.3
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2012;240.2
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRF3";"F";"FRANCE";"A";"F";"1";"6";"D";2010;185.9
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2011;3073.9
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2010;3113.3
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2008;3415.2
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2009;2927.9
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2007;541.9
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2006;471
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2008;555.4
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2009;417.6
"W0";"D";"P51G";"F";"XDC";"V";"S";"A";"FRG0";"F";"FRANCE";"A";"F";"1";"6";"D";2005;429.5
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2010;556.6
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2009;652.1
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2012;760.7
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2013;593.7
"W0";"D";"P51G";"K";"XDC";"V";"S";"A";"FRE";"32";"REG";"A";"F";"1";"6";"D";2011;631.7
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2017;122053.8
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2013;112423.4
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2014;111798.8
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2015;110997.2
"W0";"D";"P51G";"L";"XDC";"V";"S";"A";"FRMETHIDF";"FM_X_R11";"FRANCE";"A";"F";"1";"6";"D";2016;114405.8
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2008;123
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2007;122.2
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2009;115.6
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2005;114.1
"W0";"D";"P51G";"J";"XDC";"V";"S";"A";"FRI3";"F";"FRANCE";"A";"F";"1";"6";"D";2006;123.1
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2007;3291.5
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2006;2923.6
"W0";"D";"P51G";"GTI";"XDC";"V";"S";"A";"FRL0";"F";"FRANCE";"A";"F";"1";"6";"D";2005;2785.2
